,,,,Script Migration,,,,,,,,,Data Migration,,,,,,
PIC,Developer Name,Source,Table/File Name,EXT,RAW,COM_T,COM_T Script Model,COM_M,COM_M Script Model,CUR,CUR Script Model,UNL,Criteria,Dependency,ETL Grouping,Development Sequence,New PIC,Environment,Remarks
KIBB,,FRA Files,ConnectedParties_Data_yyyyMMdd.txt,/,/,/,Model 2A,,,,,,"RAW: N/A (it's full extraction)
COM_T: COM_T where etl_dt = <last available date>",,irem-acc (mhbos); irem-cust(mhbos);einv-cust,irem-1a,KIBB,,
KIBB,,GUAVA Files,EXTERNAL_BRANCH_COMPANY_yyyyMMdd.txt,/,/,/,Model 2A,/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod, copy only files to MapR)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,irem-guava;einv-acc;einv-cust,irem-13,KIBB,,"Source provide all data from GUAVA, key column is SHORTNAME, might see duplicate records with all fields value same due to data sent at BRANCH level. "
KIBB,,GUAVA Files,EXTERNAL_BRANCH_CONTACT_yyyyMMdd.txt,/,/,/,Model 2A,,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-cust,einv-1a-1,KIBB,,"Source provide all data from GUAVA, key reference column is BRANCHNAME."
KIBB,,GUAVA Files,EXTERNAL_BRANCH_yyyyMMdd.txt,/,/,/,"Model 2A
Remarks: To get the branch related query from T_GUAVA_COMPANY script. ",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-1,KIBB,,"Source provide all data from GUAVA, key column is BRANCHNAME."
KIBB,,GUAVA Files,GUAVACUST_yyyymmdd.dat,/,/,/,"Model 3,
Key: account_no",/,"Follow COM_M in Model 3 (not need partition, keep only latest snapshot copy)",,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>
COM_M: COM_M where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-1,KIBB,"DEV, UAT",Script not fully tested as test source file contains invalid data that causes records flagged as exception at COM_T layer
KIBB,,GUAVA Files,GUAVATRX_INCyyyymmdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-1,KIBB,"DEV, UAT","Source: Cannot send records with same transaction date in different files
Datalake: Not supporting historical data reload
eInv: To get data from CUR based on record_created_date"
KIBB,,GUAVA Files,GUAVATRX_EXPyyyymmdd.dat,/,/,/,"Model 5B,
Key: transaction_date
Partition: YEAR_MONTH (transaction_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_R",,einv-trx,einv-2a-1,KIBB,"DEV, UAT","Source: Cannot send records with same transaction date in different files
Datalake: Not supporting historical data reload
eInv: To get data from CUR based on record_created_date"
KIBB,,K2,ACCOUNT,/,/,/,"Model 3, 
Key: accountid
Partition: N/A",,,,,,"RAW: All (Prod)
COM_T: COM_R where start_dt <= <today> and end_dt > <today>",,irem-acc;irem-cust;einv-acc;einv-cust,irem-1a,KIBB,,
